# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
r3r1k1/4qppp/3p4/1p1Pb3/1Q6/P3B3/4RPPP/4R1K1 w - - 3 28,47
4r1k1/4qppp/3p4/1Q1Pb3/8/r3B3/4RPPP/4R1K1 b - - 0 29,5
4r1k1/4qpp1/3p3p/1QBPb3/8/r7/4RPPP/4R1K1 b - - 1 30,-12
4r1k1/4qpp1/7p/1QpPR3/8/r7/5PPP/4R1K1 b - - 0 31,3
4R3/5ppk/7p/2pP4/8/r7/5PPP/6K1 w - - 1 34,-2
4R3/5ppk/7p/2pP4/8/r7/5PPP/5K2 b - - 2 34,3
4R3/5ppk/7p/3P4/2p5/r7/5PPP/5K2 w - - 0 35,-4
8/5p1k/7p/3r2p1/2R5/8/4KPPP/8 w - - 0 39,-3
8/5pk1/7p/3r2p1/2R4P/5P2/4K1P1/8 b - - 0 40,0
6k1/8/2R4p/3r1pp1/7P/5P2/4K1P1/8 b - - 3 42,1
8/7k/2R4p/3r1pp1/7P/5P2/4K1P1/8 w - - 4 43,0
6k1/8/2R4p/3r2pP/5p2/5P2/4K1P1/8 b - - 3 45,10
8/6k1/2R4p/3r2pP/5p2/5P2/4K1P1/8 w - - 4 46,0
7k/2R5/7p/3r2pP/5p2/5P2/4K1P1/8 w - - 10 49,0
r2qr1k1/1bp2ppp/p1np1b2/1p1Bp3/4P3/P4N2/1PPPQPPP/R1B1R1K1 w - - 3 13,19
r2qr1k1/1bp2ppp/p1np1b2/1p1Bp3/2P1P3/P4N2/1P1PQPPP/R1B1R1K1 b - - 0 13,15
r2qr1k1/1bp2ppp/p1np1b2/3Bp3/2Q1P3/P4N2/1P1P1PPP/R1B1R1K1 b - - 0 14,32
r3r1k1/1bpq1ppp/p1np1b2/3Bp3/2Q1P3/P4N2/1P1P1PPP/R1B1R1K1 w - - 1 15,18
r3r1k1/1bpq1ppp/p1np1b2/3Bp3/2Q1P3/P2P1N2/1P3PPP/R1B1R1K1 b - - 0 15,0
1r2r1k1/1bpq1ppp/p1np1b2/3Bp3/2Q1P3/P2PBN2/1P3PPP/R3R1K1 b - - 2 16,-31
1r1r2k1/1bpq1ppp/p1np1b2/3Bp3/2Q1P3/P2PBN2/1P3PPP/2R1R1K1 b - - 4 17,79
1r1r2k1/1b1q1ppp/p1pp1b2/n2Bp3/4P3/P2PBN2/QP3PPP/2R1R1K1 w - - 0 19,-25
1r1r2k1/1b1q1ppp/p1p5/4p1N1/3pP3/PQ1P4/1P3PPP/2R1R1K1 b - - 0 23,16
1r2r1k1/1b1q1ppp/p1p5/4p1N1/3pP3/PQ1P4/1P3PPP/2R1R1K1 w - - 1 24,24
1r2r1k1/1b1q1ppp/p1p5/4p3/3pP3/PQ1P1N2/1P3PPP/2R1R1K1 b - - 2 24,25
1r2r1k1/1b1q1pp1/p1p4p/4p3/3pP3/PQ1P1N2/1P3PPP/2R1R1K1 w - - 0 25,82
1r2r1k1/1b1q1pp1/p1p4p/4p3/3pP3/P2P1N2/1PQ2PPP/2R1R1K1 b - - 1 25,4
1r2r1k1/1b1q1p2/2p3pp/p3p3/2NpP3/P2P4/1PQ2PPP/2R1R1K1 b - - 1 27,54
1r2r1k1/1bq2p2/2p3pp/p3p3/2NpP3/P2P4/1PQ2PPP/2R1R1K1 w - - 2 28,29
1r1r2k1/1bq2p2/2p4p/N3p1p1/P2pP3/3P4/1P1Q1PPP/2R1R1K1 b - - 0 30,542
1r1r2k1/1bq2p2/7p/N1p1p1p1/PP1pP3/3P4/3Q1PPP/2R1R1K1 b - - 0 31,557
br1r2k1/5p2/7p/N3R1p1/qP1pP3/3P4/3Q1PPP/4R1K1 w - - 1 34,510
br1r2k1/8/5p1p/N3R1p1/qP1pP3/3P4/3Q1PPP/1R4K1 w - - 0 35,477
br1r2k1/8/5p1p/N1R3p1/qP1pP3/3P4/3Q1PPP/1R4K1 b - - 1 35,569
brr3k1/3q4/5p1p/2R3p1/1P1pP3/1N1P4/3Q1PPP/1R4K1 w - - 4 37,618
brr3k1/3q4/5p1p/2R3p1/1P1pP3/1N1P4/3Q1PPP/R5K1 b - - 5 37,564
1rr3k1/3q4/2b2p1p/6p1/1PRpP3/1N1P4/3Q1PPP/R5K1 b - - 7 38,555
1rr3k1/3q4/5p1p/1b6/1PRNP1p1/3P4/3Q1PPP/R5K1 w - - 1 40,618
2r3k1/3q4/5p1p/1b6/1P1NP1p1/3P4/3Q1PPP/R5K1 w - - 0 41,671
2r3k1/8/5p1Q/4q3/1P2P1p1/3P4/5PPP/R5K1 w - - 1 43,669
2r3k1/R7/5p1Q/4q3/1P2P1p1/3P4/5PPP/6K1 b - - 2 43,870
r2q2k1/2p2ppp/p2prb2/1p6/3pP3/P2P4/1PP2PPP/R1BQR1K1 w - - 0 15,2
r2q2k1/2p2ppp/p2prb2/1p6/1P1pP3/P2P4/2P2PPP/R1BQR1K1 b - - 0 15,-20
4r1k1/2pq1ppp/p2prb2/1p6/1P1pPB2/P2P4/2P2PPP/R2QR1K1 w - - 3 17,-23
4r1k1/3q1ppp/p2prb2/1pp5/1P1pPB2/P2P4/2PQ1PPP/R3R1K1 w - - 0 18,-5
4r1k1/3q1p1p/p2prb2/1pp3p1/1P1pPB2/P2P4/2P1QPPP/R3R1K1 w - - 0 19,17
4r1k1/3q1p1p/p2prb2/1pp3p1/1P1pP3/P2P2B1/2P1QPPP/R3R1K1 b - - 1 19,14
4r1k1/5p2/p2prb1p/1pq5/3pPPp1/P2P2B1/2P3PP/R2QR1K1 b - - 1 23,123
3r2k1/5p2/p2prb1p/1p3P1q/3pP1p1/P2P2BP/2P3P1/R2QR1K1 b - - 0 25,107
3r2k1/4rp2/p2p1b1p/1p3P1q/3pP1P1/P2P2B1/2P3P1/R2QR1K1 b - - 0 26,40
3r2k1/4rp2/p2p1b1p/1p3Pq1/3pP1P1/P2P4/2P3PB/R2QR1K1 b - - 2 27,-38
3r2k1/4rp2/p4b1p/1p1p1Pq1/3pP1P1/P2P4/2P3PB/R2QR1K1 w - - 0 28,50
4r1k1/4rp2/p4b1p/1p1pPPq1/3p2P1/P2P4/2P3PB/R2QR1K1 w - - 1 29,30
4k3/5p2/p4P1p/1p1p1P2/3p2P1/P2P4/R1P1r1P1/7K b - - 3 35,-8
8/5p2/5k2/1p1prP1p/3p2P1/3P4/1RP3P1/5K2 w - - 0 42,1
8/5p2/5k2/1p1p1r2/3p4/3P4/1RP3P1/6K1 b - - 3 45,-13
8/5p2/1R6/3prk2/3p4/3P4/2P3P1/6K1 w - - 3 48,11
8/5p2/8/3p2k1/3p4/3P4/1RP2KP1/2r5 w - - 9 51,0
8/5p2/8/3p2k1/3p4/3P2K1/1RP3P1/2r5 b - - 10 51,-5
8/5p2/5k2/3p4/3p1K2/3P4/1RP3P1/2r5 b - - 12 52,-2
8/5p2/5k2/3p4/3p2K1/3P4/1RP3P1/5r2 b - - 14 53,-12
4r3/5R2/8/3pkp2/3p4/3P1K2/2P5/8 w - - 4 60,-23
1r6/8/5k2/3p1p2/3p4/3P1K2/2P1R3/8 w - - 10 63,26
8/6r1/5k2/3p1p2/3p4/3P1K2/2P4R/8 w - - 16 66,0
8/6r1/7R/3pkp2/3p4/3P1K2/2P5/8 w - - 18 67,-5
8/6r1/8/3pkp2/3p4/3P1K2/2P4R/8 b - - 19 67,-13
8/5k2/8/3p1p2/3p1K2/3P4/2P5/8 b - - 3 71,-332
8/8/5k2/3p1p2/3p1K2/3P4/2P5/8 w - - 4 72,-583
8/8/8/3p1pk1/3p4/3P2K1/2P5/8 w - - 6 73,-670
r1bq1rk1/4bppp/p1pp1n2/4p3/1p2P3/1P1P1N2/1PP1NPPP/R1BQR1K1 b - - 0 13,-15
r4rk1/1b1qbppp/p1pp1n2/4p3/1pP1P3/1P1PBN2/1P2NPPP/R2QR1K1 b - c3 0 15,-65
r4rk1/1b1qbppp/1Bpp1n2/p3p3/1pP1P3/1P1P1N2/1P2NPPP/R2QR1K1 b - - 1 16,-475
r2r2k1/1b1q1ppp/2pp1n2/p3p3/1pP1P3/1P1P1N2/1P2NPPP/R2QR1K1 w - - 0 18,-9
r2r2k1/1b1q1ppp/2pp1n2/p3p3/1pP1P3/1P1P1N2/RP2NPPP/3QR1K1 b - - 1 18,-33
r2r2k1/1b3ppp/2ppqn2/p3p3/1pP1P3/1P1P1N2/RP2NPPP/3QR1K1 w - - 2 19,-17
3r2k1/5ppp/4qn2/Q3p3/1pP5/1P3P2/1P2NP1P/4R1K1 b - - 0 24,61
3r2k1/5ppp/3q1n2/Q3p3/1pP5/1P3P2/1P2NP1P/4R1K1 w - - 1 25,136
3r2k1/5ppp/3q1n2/Q3p3/1pP5/1P3PN1/1P3P1P/4R1K1 b - - 2 25,83
4r1k1/5ppp/3q1n2/Q3p3/1pP5/1P3PN1/1P3P1P/4R1K1 w - - 3 26,113
4r1k1/5ppp/3q4/Q3p3/1pP1P3/1P6/1P3P1P/4R1K1 b - - 0 27,1
3r2k1/5ppp/3q4/Q3p3/1pP1P3/1P6/1P3P1P/4R1K1 w - - 1 28,0
3r2k1/5ppp/3q4/Q1P1p3/1p2P3/1P6/1P3P1P/4R1K1 b - - 0 28,0
3r2k1/5ppp/8/Q1P1p3/1p2P3/1P6/1P1q1P1P/4R1K1 w - - 1 29,0
2r3k1/5ppp/2Pq4/Q3p3/1p2P3/1P6/1P3P1P/R5K1 w - - 1 31,181
2r3k1/5ppp/8/4Q3/Rp6/1P6/1P2KP1P/7q b - - 2 35,-484
6k1/4qppp/8/8/R7/1PK5/1P3P1P/8 b - - 2 41,-645
6k1/5ppp/8/2K5/R5q1/1P6/1P3P1P/8 b - - 8 44,-722
8/1K5p/1P6/R4pp1/5k2/1q6/8/8 b - - 0 58,-510
8/K7/1P6/R4ppp/1q3k2/8/8/8 w - - 2 60,-515
8/8/KP6/R4ppp/1q3k2/8/8/8 b - - 3 60,-605
8/8/KPq5/1R3ppp/5k2/8/8/8 w - - 6 62,-576
8/8/KPq5/5ppp/1R6/6k1/8/8 w - - 8 63,-533
8/1P6/2K5/5ppp/8/6k1/5q2/8 b - - 4 68,-726
8/1P6/2K5/5ppp/5q2/6k1/8/8 w - - 5 69,-689
8/1P1K4/8/5ppp/5q2/6k1/8/8 b - - 6 69,-735
8/1PK5/8/3q1pp1/7p/6k1/8/8 b - - 5 72,-719
1K6/1P6/2q5/5pp1/7p/6k1/8/8 b - - 11 75,-883
8/1Pq5/K7/5pp1/8/6k1/7p/8 w - - 0 78,-1500
1q6/8/K7/5pp1/8/6k1/7p/8 w - - 0 79,-1500
r1bqk2r/4bppp/p1pp1n2/1p2p3/4P3/1P1P1N2/1PP2PPP/RNBQR1K1 b kq - 0 11,-26
r1bq1rk1/4bppp/p1pp1n2/1p2p3/4P3/1P1P1N2/1PP2PPP/RNBQR1K1 w - - 1 12,-25
r1bq1rk1/4bppp/p1pp1n2/4p3/1p2P3/1P1PBN2/1PP2PPP/RN1QR1K1 w - - 0 13,-1
r1bq1rk1/4bppp/p1pp1n2/4p3/Rp2P3/1P1PBN2/1PP2PPP/1N1QR1K1 b - - 1 13,-36
r1bq1rk1/4bppp/p2p1n2/2p1p3/RpP1P3/1P1PBN2/1P3PPP/1N1QR1K1 b - c3 0 14,-136
rq3rk1/3bbppp/p2p1n2/2p1p3/1pP1P3/1P1PBN2/RP3PPP/1N1QR1K1 w - - 3 16,-59
rq3rk1/4bppp/p1bp1n2/2p1p3/1pP1P3/1P1PBN2/RP1N1PPP/3QR1K1 w - - 5 17,-49
rq3rk1/4bppp/p1bp1n2/2p1p3/1pP1P3/1P1PBN2/RP1NQPPP/4R1K1 b - - 6 17,-86
rq2r1k1/4bppp/p1bp1n2/2p1p1N1/1pP1P3/1P1PB3/RP1NQPPP/4R1K1 b - - 8 18,-81
r3r1k1/1q2bppp/p1bp1n2/2p1p1N1/1pP1P3/1P1PB3/RP1NQPPP/4R1K1 w - - 9 19,-87
r3r1k1/1q2bppp/p1bp1n2/2p1p3/1pP1P3/1P1PBN2/RP1NQPPP/4R1K1 b - - 10 19,-125
r3r1k1/1q2bppp/p1bp1n2/2p1p1B1/1pP1P3/1P1P1N2/RP1NQPPP/R5K1 b - - 14 21,-99
r3r1k1/1q3p2/p1bp1bpp/2p1p3/1pP1P3/1P1P1NN1/RP2QPPP/R5K1 b - - 1 24,-69
r2r2k1/1q3p2/p1bp1bp1/2p1p2p/1pP1P3/1P1P1NNP/RP2QPP1/R5K1 w - - 0 26,-50
r3r1k1/1q3p2/p1bp1bp1/2p1p2p/1pP1P2P/1P1P1NN1/RP2QPP1/R5K1 w - - 1 27,-85
r5k1/1q2rp2/p1bp1bp1/2p1p2p/1pP1P2P/1P1P1NN1/RP2QPP1/R5K1 b - - 4 28,-33
r1q3k1/4rp2/p1bp1bp1/2p1p2p/1pP1P2P/1P1P1NN1/RP2QPP1/R5K1 w - - 5 29,-42
r1q3k1/4rp2/p1bp1bp1/R1p1p2p/1pP1P2P/1P1P1NN1/1P2QPP1/R5K1 b - - 6 29,-98
2q3k1/r3rp2/p1bp1bp1/R1p1p2p/1pP1P2P/1P1P1NN1/RP2QPP1/6K1 b - - 8 30,-140
3b2k1/rq1r1p2/p1bp2p1/R1p1p2p/1pP1P2P/1P1P1NN1/RP3PP1/4Q1K1 w - - 13 33,-206
r5k1/1q1r1p2/p1bp2p1/R1p1p2p/1pP1P2P/1P1P1NN1/1P3PP1/4Q1K1 w - - 1 35,-307
4r1k1/1q1r1p2/p1bp2p1/R1p1p2p/1pP1P2P/1P1P1NN1/1P2QPP1/6K1 w - - 3 36,-286
4r1k1/1q1r4/p1bp1pp1/2p1p2p/1pP1P2P/1P1P1NN1/RP2QPP1/6K1 w - - 0 37,-302
4r1k1/1q1r4/p1bp1pp1/2p1p2p/1pP1P2P/1P1P1N2/RP2QPP1/5NK1 b - - 1 37,-316
4r1k1/1q1r4/p1bp4/2p1pp1p/1pP4P/1P1P1N2/RP2QPP1/5NK1 w - - 0 39,-41
4r1k1/1q1r4/p1bp4/2p1pp1p/1pP4P/1P1P1N2/RP1NQPP1/6K1 b - - 1 39,-176
4r1k1/1q4r1/p1bp4/2p1pp1p/1pP4P/1P1P1N2/RP1NQPP1/6K1 w - - 2 40,-156
4r1k1/1q4r1/p1bp4/R1p1pp1p/1pP4P/1P1P1N2/1P1NQPP1/6K1 b - - 3 40,-433
4r1k1/1q4r1/p1bp4/R1p2p1p/1pP1p2P/1P1P1N2/1P1NQPP1/6K1 w - - 0 41,-295
R7/2q2rk1/3p4/2p1r2p/1pP1N2P/1P6/1P2QPP1/6K1 w - - 3 47,78
r2q1rk1/1b2bppp/p1pp1n2/4p3/1pN1P3/1P1PBN2/1PP2PPP/R2QR1K1 b - - 3 14,33
rq2r1k1/1b2bppp/p1pp1n2/N3p3/1p2P3/1P1P1N2/1PPB1PPP/R2QR1K1 b - - 7 16,33
r3r1k1/1q2bppp/p2p1n2/2p1p3/1p2P3/1P1P1N2/1PPB1PPP/R2QR1K1 w - - 0 18,23
r3r1k1/1q2bppp/p2p1n2/2p1p3/1p2P3/1P1P1N2/1PPB1PPP/2RQR1K1 b - - 1 18,16
3r2k1/1q1rbpp1/p2p1n1p/2p1p3/1pP1P3/1P1P1N2/RPQB1PPP/4R1K1 b - - 2 22,-20
4r1k1/1q1rbpp1/p2p1n1p/2p1p3/1pP1P3/1P1P1N2/RPQB1PPP/4R1K1 w - - 3 23,2
r5k1/3rbpp1/pq1p1n1p/2p1p3/1pP1P3/1P1PBN1P/RPQ2PP1/R5K1 b - - 0 25,-6
r5k1/1q1rbpp1/p2p1n1p/2p1p3/1pP1P3/1P1PBN1P/RPQ2PP1/R5K1 w - - 1 26,2
3r2k1/rq2bpp1/p2p1n1p/2p1p3/1pP1P3/1P1PBNPP/RP2QP2/R5K1 w - - 3 28,16
3r2k1/rq2bp2/p2p1n1p/2p1p1p1/1pP1P3/1P1PBNPP/RP2QP2/R5K1 b - - 1 29,45
r3r1k1/1q2bp2/p2p1n1p/2p1p1p1/1pP1P3/1P1PBNPP/RP2QP2/R5K1 b - - 5 31,41
r3r3/1q2bpk1/p2p1n1p/2p1p1p1/1pP1P3/1P1PBNPP/RP2QP2/R5K1 w - - 6 32,61
r3r3/1q2bpk1/p2p1n1p/2p1p3/1pP1P1pP/1P1PBNP1/RP2QP2/R5K1 w - - 0 33,79
r3r1k1/1q2bp2/p2p1n2/2p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/R5K1 w - - 3 38,93
r2br1k1/1q3p2/p2p1n2/2p1p2p/1pP1P2P/1P1PBNP1/RP3Q2/R5K1 b - - 6 39,13
r2r2k1/1q2bp2/p2p1n2/2p1p2p/1pP1P2P/1P1PBNP1/RP6/R3Q1K1 w - - 9 41,64
r3r1k1/1q2bp2/p2p1n2/2p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/R5K1 b - - 12 42,72
r3r1k1/1q2bp2/p2p1n1B/2p1p2p/1pP1P2P/1P1P1NP1/RP2Q3/R5K1 w - - 15 44,107
r3r1k1/1q2bp2/p2p1n2/2p1p2p/1pP1P2P/1P1P1NP1/RP1BQ3/R5K1 b - - 16 44,47
3r2k1/1q2bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/5RK1 b - - 3 47,176
q3r1k1/4bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/R5K1 w - - 6 49,86
q3r1k1/4bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/3R2K1 b - - 7 49,24
4r1k1/1q2bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/3R2K1 w - - 8 50,84
4r1k1/2q1bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP3Q2/R5K1 w - - 14 53,97
3r2k1/2q1bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP2Q3/R5K1 b - - 17 54,62
4r1k1/2q1bp2/r2p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP3Q2/R5K1 b - - 19 55,2
r3r1k1/2q1bp2/3p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP3Q2/R5K1 w - - 20 56,127
r4rk1/2q1bp2/3p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP4Q1/R5K1 w - - 22 57,96
r3r1k1/2q1bp2/3p1n2/p1p1p2p/1pP1P2P/1P1PBNP1/RP1Q4/R5K1 w - - 24 58,93
r3r1k1/2q1bp2/3p1n2/p1p1p1Np/1pP1P2P/1P1PB1P1/RP1Q4/R5K1 b - - 25 58,6
r1bqk2r/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 w kq - 1 9,-9
r1bqk2r/4bppp/p1pp1n2/np1Bp3/4P3/3P1N2/PPP2PPP/RNBQR1K1 w kq - 0 10,-24
r2q1rk1/1b2bppp/p1pp1n2/1p2p3/4P3/1P1P1N2/1PPN1PPP/R1BQR1K1 w - - 3 13,-21
r2q1rk1/1b2bppp/p1pp1n2/1p2p3/3PP3/1P3N2/1PPN1PPP/R1BQR1K1 b - - 0 13,-65
r2q1rk1/1b2bppp/p7/1pp1N3/4n3/1P6/1PPNQPPP/R1B1R1K1 b - - 1 16,-91
r2q1rk1/1b2bppp/p7/1pp1N3/8/1P6/1PPBQPPP/R3R1K1 b - - 0 17,-40
r4rk1/1b2bppp/p7/1ppqN3/8/1P6/1PPBQPPP/R3R1K1 w - - 1 18,-63
r3r1k1/4bppp/p7/1ppbN3/8/1P6/1PPB1PPP/R3R1K1 w - - 0 20,-5
r3r1k1/4bppp/p7/1ppbN3/2P5/1P6/1P1B1PPP/R3R1K1 b - - 0 20,-40
r3r1k1/1b2bppp/p7/1pp1N3/2P5/1P6/1P1B1PPP/R3R1K1 w - - 1 21,-13
r3r1k1/1b2bppp/p7/1pp1N3/2P5/1P6/1P1B1PPP/3RR1K1 b - - 2 21,-24
r3r1k1/1b2b1pp/p4p2/2p5/2P5/3N4/1P1B1PPP/3RR1K1 b - - 0 23,2
r3r2k/1b2b1pp/p4p2/2p5/2P5/3N4/1P1B1PPP/3RR1K1 w - - 1 24,47
r3r2k/1b2b1pp/p4p2/2p5/2P5/3NB3/1P3PPP/3RR1K1 b - - 2 24,20
r1r4k/1b2b1pp/p4p2/2p5/2P5/3NB3/1P3PPP/3RR1K1 w - - 3 25,30
r1r3k1/1b2b1pp/p4p2/2p4P/2P5/3NB3/1P3PP1/3RR1K1 b - - 0 26,37
r1r2bk1/1b4pp/p4p2/2p4P/2P5/3NB3/1P3PP1/3RR1K1 w - - 1 27,33
r1r2bk1/1b4pp/p4p2/2p4P/2P2N2/4B3/1P3PP1/3RR1K1 b - - 2 27,31
r3rbk1/1b4pp/p4p2/2p4P/2P2N2/4B3/1P3PP1/3RR1K1 w - - 3 28,47
r3rbk1/1b1R2pp/p4p2/2p4P/2P2N2/4B3/1P3PP1/4R1K1 b - - 4 28,29
r1b1rbk1/3R2pp/p4p2/2p4P/2P2N2/4B3/1P3PP1/4R1K1 w - - 5 29,30
r1b1rbk1/6pp/p4p2/2p4P/2P2N2/4B3/1P1R1PP1/4R1K1 b - - 6 29,10
r3rbk1/1b4pp/p4p2/2p4P/2P2N2/4B3/1P1R1PP1/4R1K1 w - - 7 30,28
r3rbk1/1b4pp/p4p2/2p4P/2P2N2/4B3/1P1R1PP1/3R2K1 b - - 8 30,36
r3rbk1/1b4pp/p7/2p2p1P/2P2N2/4B3/1P1R1PP1/3R2K1 w - - 0 31,87
r3rbk1/1b4pp/p7/2p2p1P/2P5/3NB3/1P1R1PP1/3R2K1 b - - 1 31,55
r4bk1/1b4pp/p7/2p2p1P/2P1r3/3NB3/1P1R1PP1/3R2K1 w - - 2 32,96
r4bk1/1b4pp/p7/2p2p1P/2P1r3/1P1NB3/3R1PP1/3R2K1 b - - 0 32,83
3r1bk1/1b4pp/p7/2p2p1P/2P1r3/1P1NB1P1/3R1P2/3R2K1 b - - 0 33,6
r2q1rk1/1bp1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 w - - 1 11,-23
r2q1rk1/1b2bppp/p1pp1n2/np1Bp3/4P3/2NP1N1P/PPP2PP1/R1BQR1K1 w - - 0 12,-32
2rqr1k1/1b3ppp/p1pp4/8/4P3/1Pb1BN1P/2P2PP1/R2QR1K1 w - - 0 19,-348
1r1qr1k1/1b3ppp/p2p4/2p5/8/1PB2N1P/2P2PP1/R2Q2K1 w - - 4 24,-593
1r1qr1k1/1b3ppp/p2p4/2p5/8/1PB4P/2PN1PP1/R2Q2K1 b - - 5 24,-568
1r2r1k1/1b2qppp/p2p4/2p5/8/1PB4P/2PN1PP1/R2Q2K1 w - - 6 25,-519
1r2r1k1/1b2qppp/p7/2pp4/8/1P3N1P/1BP2PP1/R2Q2K1 b - - 1 26,-695
1r2r1k1/5ppp/p7/2pb1q2/3p4/1P3NPP/1BP2PK1/2RQ4 w - - 5 30,-758
1r2r1k1/5ppp/p7/2pb1q2/3p3P/1P3NP1/1BP2PK1/2RQ4 b - - 0 30,-927
6k1/5ppp/8/8/2rpKB1P/5PP1/1pr5/1R6 w - - 1 42,-668
6k1/5ppp/8/8/2rp1B1P/2r2PP1/1p1K4/1R6 b - - 4 43,-680
6k1/5ppp/8/8/2rp1B1P/1r3PP1/1p1K4/1R6 w - - 5 44,-758
6k1/5ppp/8/7P/2rp1B2/1r3PP1/1p1K4/1R6 b - - 0 44,-770
6k1/6pp/5p2/7P/3p4/1r3PP1/1prBK3/1R6 b - - 3 46,-798
6k1/6p1/5p1p/7P/8/1r1pKPP1/1prB4/1R6 w - - 0 48,-674
6k1/6p1/5p1p/7P/5P2/1r1pK1P1/1prB4/1R6 b - - 0 48,-824
6k1/6p1/7p/5p1P/5P2/1r1pK1P1/1prB4/1R6 w - - 0 49,-811
6k1/6p1/7p/5p1P/5P2/3K2P1/2rB4/1r6 b - - 0 51,-853
2r3k1/6p1/7p/5p1P/5P2/6P1/3BK3/1r6 b - - 2 52,-830
6k1/6p1/7p/2K2p1P/5P2/6r1/3Br3/8 w - - 2 56,-828
6k1/6p1/7p/B1K2p1r/5P2/8/4r3/8 b - - 1 58,-877
6k1/8/7p/B1K2ppr/5P2/8/4r3/8 w - - 0 59,-769
6k1/2B5/1K5p/5p1r/5Pp1/8/2r5/8 w - - 0 61,-876
6k1/8/K6p/4Bp1r/5P2/6p1/2r5/8 b - - 1 62,-938
6k1/8/K6p/5p2/3B1P1r/8/2r3p1/8 w - - 2 64,-949
6k1/8/K6p/5p2/5r2/4B3/2r3p1/8 w - - 0 65,-834
6k1/8/7p/1K3p2/4r3/8/8/6q1 w - - 2 69,-894
6k1/2K5/7p/8/3qrp2/8/8/8 w - - 0 71,-1226
6k1/2K5/7p/3q4/4rp2/8/8/8 b - - 3 72,-1500
6k1/2K5/7p/3q4/4r3/5p2/8/8 w - - 0 73,-1500
r2q1rk1/1bp1bppp/p2p1n2/1p2p3/4P3/1PNP1N1P/1PP1RPP1/R1BQ2K1 b - - 0 12,-94
r2q1rk1/1bp1bppp/p2p1n2/4p3/1p2P3/1PNP1N1P/1PP1RPP1/R1BQ2K1 w - - 0 13,-67
r2q1rk1/1bp1bppp/p2p1n2/4p3/1p2P3/1P1P1N1P/1PP1RPP1/RNBQ2K1 b - - 1 13,-103
r2q1rk1/1b2bppp/p1pp1n2/4p3/1p2P3/1P1P1N1P/1PP1RPP1/RNBQ2K1 w - - 0 14,-21
r2q1rk1/1b2bppp/p1pp1n2/4p3/1p2P3/1P1P1N1P/1PPNRPP1/R1BQ2K1 b - - 1 14,-14
r2qr1k1/1b2bppp/p1pp1n2/4p3/1p2P3/1P1P1N1P/1PPNRPP1/R1BQ2K1 w - - 2 15,7
r2qr1k1/1b2bppp/p1pp1n2/4p3/1p1PP3/1P3N1P/1PPNRPP1/R1BQ2K1 b - - 0 15,-88
r2qr1k1/1b2bppp/p2p1n2/2p1p3/1p1PP3/1P3N1P/1PPNRPP1/R1BQ2K1 w - - 0 16,2
3rr1k1/1b1qbppp/p2p1n2/2pPp3/Rp2P3/1PP2N1P/1P1NRPP1/2BQ2K1 b - - 2 18,107
3rr1k1/1b1qbppp/p2p1n2/2pPp3/R3P3/1PP2N1P/3NRPP1/2BQ2K1 b - - 0 19,122
3rr1k1/1b1qbpp1/p2p1n1p/2pPp3/R3P3/1PP2N1P/3NRPP1/2BQ2K1 w - - 0 20,130
1r2r1k1/1b1qbpp1/p2p1n1p/2pPp3/R1N1P3/1PP2N1P/4RPP1/2BQ2K1 w - - 2 21,115
1r2r1k1/1b1qbpp1/p2p1n1p/2pPp3/R1N1P3/1PP2N1P/1B2RPP1/3Q2K1 b - - 3 21,64
1rq1r1k1/1b2bpp1/p2p1n1p/2pPp3/R1N1P3/1PP2N1P/1B2RPP1/3Q2K1 w - - 4 22,93
1rq1r1k1/1b2bpp1/p2p1n1p/2pPp3/R1N1P3/1PP2N1P/1B1QRPP1/6K1 b - - 5 22,26
1r2r1k1/1b1qbp2/p2p1n1p/R1pPp1p1/2N1P3/1PP2N1P/1B1QRPP1/6K1 b - - 1 27,76
1r2r1k1/1b1qbp2/p2p1n1p/R1pPp1p1/2N1P3/1PP2NPP/1B1QRP2/6K1 w - - 1 29,-23
1r1br1k1/1b1q1p2/p2p1n1p/R1pPp3/2N1P2N/1PP3P1/1B1QRP2/6K1 w - - 1 31,404
1r1br1k1/1b1q1p2/p2p1n1p/2pPp3/R1N1P2N/1PP3P1/1B1QRP2/6K1 b - - 2 31,238
1r1br1k1/1b1q1p2/p2p1n2/2pPpN1p/R1N1P3/1PP3P1/1B1QRP2/6K1 b - - 1 32,420
